"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,0.19451,7.6279e-05,-3.1803e-05,-0.003,485,349.7,0,0,0,0,-1.0443e+08,4.2865e+07,-0.00015819,0.11333,30.92,0,5.5197e+07,98686,14.157,0.97324,-1.0245e-08,4.1723e-07,2.0849e+07,-367.12,2.3945,5.1385e-13,0.00074082,7.3125
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,0,4.8283e-05,-2.9493e-05,-0.003,477.32,352.85,0,0,0,0,-8.4698e+07,1.0417e+08,-5.281e-05,0.13249,23.126,0,5.4996e+07,1.042e+05,14.157,1.0111,4.6566e-09,1.0431e-07,1.6898e+07,-279.07,44.733,-8.6977e-14,0.00055358,6.7715
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.26415,0.00010434,-3.2571e-05,-0.003,488.19,347.29,0,0,0,0,-8.6398e+07,1.885e+07,-0.00018643,0.089789,36.411,0,5.407e+07,96528,14.157,0.96152,-2.9802e-08,3.8743e-07,2.332e+07,-416.79,-17.471,6.3945e-13,0.00099083,7.6824
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0,0.35919,0.00013239,-3.1689e-05,-0.003,490.27,343.94,0,0,0,0,-1.2371e+08,-4.2553e+07,-6.1199e-05,0.077664,40.671,0,5.5704e+07,92681,14.157,0.93636,-1.0058e-07,5.3644e-07,2.7271e+07,-484.21,-40.214,1.0247e-12,0.0012586,8.0824
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0,0.44678,0.00016036,-2.9108e-05,-0.003,490.97,340.55,0,0,0,0,-1.3155e+08,-9.1988e+07,-6.3777e-06,0.068561,44.392,0,5.7747e+07,88351,14.157,0.90411,-4.0978e-08,3.5763e-07,3.0995e+07,-544.23,-77.474,2.8683e-13,0.0015453,8.3524
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0,0.52401,0.00018802,-2.4252e-05,-0.003,491.78,336.88,0,0,0,0,-1.2618e+08,-1.1886e+08,-0.00011528,0.061255,47.839,0,5.992e+07,84033,14.157,0.87034,2.2352e-08,2.9802e-08,3.4371e+07,-595.55,-126.48,-6.4203e-13,0.0018514,8.5398
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0,0.59364,0.00021529,-1.758e-05,-0.003,491.28,333.96,0,0,0,0,-1.1203e+08,-1.342e+08,-2.7776e-05,0.054919,51.194,0,6.2499e+07,79834,14.157,0.83422,5.5134e-07,-1.4305e-06,3.7357e+07,-635.72,-182.53,-1.2012e-12,0.0021757,8.64
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0,0.65556,0.00024196,-8.7864e-06,-0.003,490.14,331.47,0,0,0,0,-8.6267e+07,-1.3807e+08,0.00015676,0.049292,54.633,0,6.5243e+07,75924,14.157,0.79858,1.4603e-06,-3.4869e-06,3.9678e+07,-660.77,-241.38,-2.8465e-12,0.002516,8.6626
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0,0.70474,0.00026799,1.7255e-06,-0.003,489.45,329.42,0,0,0,0,-5.5787e+07,-1.2873e+08,0.00010085,0.044278,57.877,0,6.7718e+07,72739,14.157,0.76954,1.654e-06,-3.4869e-06,4.1316e+07,-672.5,-295.33,-2.09e-12,0.00287,8.6206
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0,0.74764,0.00029328,1.3914e-05,-0.003,488.65,327.92,0,0,0,0,-2.3809e+07,-1.2497e+08,4.7803e-05,0.039028,60.326,0,7.0041e+07,69925,14.157,0.74461,1.2517e-06,-2.1756e-06,4.1995e+07,-668.25,-337.19,-2.4846e-12,0.0032352,8.5441
0.00031763,2.789e-05,-0.003,0.00031763,2.789e-05,-0.003,0,0.77642,0.0003178,2.7595e-05,-0.003,487.27,328.33,0,0,0,0,1.2634e+06,-1.0386e+08,6.0201e-05,0.034038,61.653,0,7.2063e+07,68028,14.157,0.72412,1.9372e-06,-3.0398e-06,4.0956e+07,-637.26,-360.41,-1.3388e-12,0.0036096,8.3834
0.0003415,4.266e-05,-0.003,0.0003415,4.266e-05,-0.003,0,0.79134,0.00034163,4.2456e-05,-0.003,485.51,330.31,0,0,0,0,9.3938e+06,-7.2032e+07,0.00012648,0.030166,61.961,0,7.3607e+07,67043,14.157,0.70878,2.5928e-06,-4.1723e-06,3.8812e+07,-591.94,-367.35,1.4483e-12,0.0039906,8.135
0.00036516,5.8514e-05,-0.003,0.00036516,5.8514e-05,-0.003,0,0.80148,0.00036494,5.8134e-05,-0.003,484.1,332,0,0,0,0,6.4286e+06,-5.6928e+07,5.7817e-06,0.027658,61.377,0,7.4818e+07,66374,14.157,0.69797,1.7583e-06,-2.6524e-06,3.6537e+07,-548.13,-363.97,9.0068e-13,0.0043815,7.8805
0.00038962,7.6029e-05,-0.003,0.00038962,7.6029e-05,-0.003,0,0.81638,0.00038914,7.533e-05,-0.003,482.45,333.48,0,0,0,0,7.3631e+06,-5.6137e+07,-4.3213e-05,0.025545,59.848,0,7.6319e+07,65390,14.157,0.68511,1.4007e-06,-1.9073e-06,3.4239e+07,-505.24,-355.04,1.4631e-13,0.0047979,7.6364
0.00041622,9.6281e-05,-0.003,0.00041622,9.6281e-05,-0.003,0,0.82947,0.00041527,9.5321e-05,-0.003,480.58,335.12,0,0,0,0,5.9824e+06,-5.4536e+07,-4.7684e-07,0.023868,57.177,0,7.7695e+07,64528,14.157,0.67323,-1.8775e-06,2.4438e-06,3.1425e+07,-456.49,-337.25,-1.4374e-12,0.0052637,7.3389
0.00044603,0.00012057,-0.003,0.00044603,0.00012057,-0.003,0,0.85256,0.00044519,0.00011915,-0.003,478.4,336.61,0,0,0,0,8.1524e+06,-6.4936e+07,-3.171e-05,0.022052,52.806,0,7.9781e+07,63009,14.157,0.65585,-1.4752e-06,2.0266e-06,2.7753e+07,-396.53,-306.39,-2.1237e-13,0.0058033,6.9823
0.00047942,0.00015026,-0.003,0.00047942,0.00015026,-0.003,0,0.8798,0.00047846,0.00014864,-0.003,476.25,337.7,0,0,0,0,2.4405e+07,-6.1709e+07,-1.5259e-05,0.020197,45.809,0,8.2156e+07,61225,14.157,0.63596,1.7136e-06,-2.0266e-06,2.1867e+07,-305.81,-249.01,1.7735e-12,0.0064348,6.2844
0.00051643,0.00018667,-0.003,0.00051643,0.00018667,-0.003,0,0.88287,0.00051555,0.00018461,-0.003,473.78,338.29,0,0,0,0,4.1006e+07,-3.3674e+07,3.9577e-05,0.019944,35.227,0,8.2724e+07,61025,14.157,0.63119,-1.1548e-06,1.125e-06,1.4191e+07,-193.04,-167.66,-1.703e-12,0.007173,5.027
0.00055726,0.00023111,-0.003,0.00055726,0.00023111,-0.003,0,0.86102,0.00055617,0.00022883,-0.003,467.33,338.7,0,0,0,0,4.5436e+07,-9.4502e+06,1.3292e-05,0.019642,21.43,0,8.1169e+07,62454,14.157,0.64309,-2.0675e-06,2.0787e-06,7.0343e+06,-93.398,-85.608,-2.8104e-12,0.0080341,3.3261
0.00060263,0.00028465,-0.003,0.00060263,0.00028465,-0.003,0,0.82836,0.00060116,0.0002822,-0.003,456.15,339.54,0,0,0,0,3.2365e+07,2.2309e+06,-5.6159e-05,0.018827,9.3794,0,7.876e+07,64601,14.157,0.6622,-4.936e-07,4.7404e-07,1.9379e+06,-27.062,-22.568,-8.7369e-13,0.0090363,1.8374
0.00065384,0.00034818,-0.003,0.00065384,0.00034818,-0.003,0,0.80833,0.00065206,0.00034539,-0.003,454.25,339.83,0,0,0,0,1.6662e+07,-3.6508e+06,-1.3046e-05,0.01916,3.8369,0,7.7273e+07,65922,14.157,0.67496,-1.1711e-07,1.4238e-07,-1.0038e+06,8.0775,16.899,-6.855e-13,0.010201,1.6805
0.00071202,0.00042308,-0.003,0.00071202,0.00042308,-0.003,0,0.81228,0.00071009,0.00041975,-0.003,471.59,338.91,0,0,0,0,4.9366e+06,-9.6679e+06,5.3942e-06,0.020415,2.4533,0,7.7389e+07,65661,14.157,0.67435,-1.3388e-07,1.1211e-07,-3.2627e+06,32.721,49.633,-1.6496e-13,0.011555,2.1219
