"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,7.6279e-05,-3.1803e-05,-0.003,488.73,357.37,0,0,0,0,-5.8598e+07,9.2079e+07,-0.0002203,0.219,22.883,0,5.2759e+07,1.0583e+05,16.865,1.0174,-2.7008e-08,2.4587e-07,1.103e+07,-202.49,-20.563,6.6502e-13,0.00074082,7.2857
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,4.8283e-05,-2.9493e-05,-0.003,482.72,359.01,0,0,0,0,-1.3706e+07,1.0071e+08,-9.1791e-05,0.63119,11.87,0,5.3488e+07,1.0866e+05,16.865,1.037,-6.5193e-09,6.8918e-08,4.5189e+06,-89.629,-32.652,4.0284e-13,0.00055358,6.7473
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.00010434,-3.2571e-05,-0.003,489.88,355.15,0,0,0,0,-6.2592e+07,4.3308e+07,-0.00020087,0.14,29.037,0,5.161e+07,1.0357e+05,16.865,1.0067,-1.8626e-08,2.3842e-07,1.5364e+07,-275.78,-23.582,4.0975e-13,0.00099083,7.6537
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.084085,0.00013239,-3.1689e-05,-0.003,489.08,352.2,0,0,0,0,-8.3208e+07,-1.0303e+07,-0.00011463,0.10897,34.589,0,5.2516e+07,1.0083e+05,16.865,0.99282,-9.3132e-08,3.7253e-07,1.9916e+07,-354.02,-37.011,1.1146e-12,0.0012586,8.0518
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.23526,0.00016036,-2.9108e-05,-0.003,486.93,349.11,0,0,0,0,-9.8282e+07,-6.4075e+07,7.3001e-05,0.090436,39.691,0,5.3673e+07,97495,16.865,0.97269,-5.2154e-08,1.7881e-07,2.4074e+07,-423.2,-62.97,8.7265e-13,0.0015453,8.3203
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.33103,0.00018802,-2.4252e-05,-0.003,484.38,346.27,0,0,0,0,-1.0454e+08,-9.787e+07,9.954e-05,0.077092,43.987,0,5.5118e+07,93921,16.865,0.94645,1.1176e-08,-8.9407e-08,2.7482e+07,-476.34,-101.48,5.4694e-15,0.0018514,8.5066
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.40858,0.00021529,-1.758e-05,-0.003,481.28,343.67,0,0,0,0,-9.6387e+07,-1.1517e+08,6.3658e-05,0.067027,47.761,0,5.6869e+07,90322,16.865,0.91707,4.6939e-07,-1.1921e-06,3.0424e+07,-517.59,-148.96,-1.2283e-12,0.0021757,8.6058
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.47261,0.00024196,-8.7864e-06,-0.003,477.66,341.82,0,0,0,0,-7.612e+07,-1.2159e+08,0.00014985,0.058943,51.264,0,5.8771e+07,86953,16.865,0.88705,1.207e-06,-2.8312e-06,3.2789e+07,-545.78,-199.86,-2.6709e-12,0.002516,8.6278
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.52284,0.00026799,1.7255e-06,-0.003,474.4,339.97,0,0,0,0,-5.211e+07,-1.1656e+08,3.8028e-05,0.052297,54.788,0,6.0501e+07,84102,16.865,0.86192,1.4156e-06,-2.9206e-06,3.4617e+07,-562.64,-248.51,-2.1885e-12,0.00287,8.5867
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.5648,0.00029328,1.3914e-05,-0.003,470.96,338.63,0,0,0,0,-2.6344e+07,-1.1149e+08,7.0333e-06,0.045754,57.782,0,6.2122e+07,81603,16.865,0.84028,1.0133e-06,-1.8179e-06,3.5515e+07,-563.74,-287.57,-1.6281e-12,0.0032352,8.51
