"C:0","C:1","C:2","Cx","Cy","Cz","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,7.6279e-05,-3.1803e-05,-0.003,482.02,345.36,0,0,0,0,-7.3159e+07,6.9368e+07,-8.0466e-05,0.13875,27.003,0,5.3003e+07,1.0166e+05,13.948,1.0133,-1.6415e-08,2.8312e-07,1.6106e+07,-286.94,-6.9136,5.4376e-13,0.00074082,7.0962
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,4.8283e-05,-2.9493e-05,-0.003,493.21,347.97,0,0,0,0,-3.9727e+07,1.1007e+08,-7.0691e-05,0.17788,18.799,0,5.3461e+07,1.0568e+05,13.948,1.0389,-1.9791e-09,9.6858e-08,1.1727e+07,-199.83,12.849,1.0763e-13,0.00055358,6.5762
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0.16194,0.00010434,-3.2571e-05,-0.003,476.49,343.25,0,0,0,0,-7.4241e+07,3.0267e+07,-8.446e-05,0.10724,32.817,0,5.1873e+07,99487,13.948,1.0021,-2.3749e-08,2.6822e-07,1.8837e+07,-337.22,-18.047,4.6995e-13,0.00099083,7.4513
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0.27394,0.00013239,-3.1689e-05,-0.003,472.14,340.37,0,0,0,0,-1.0358e+08,-2.7142e+07,1.6421e-05,0.090371,37.514,0,5.3168e+07,96177,13.948,0.98099,-8.9407e-08,5.0664e-07,2.2672e+07,-402.53,-36.489,8.7199e-13,0.0012586,7.8368
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0.363,0.00016036,-2.9108e-05,-0.003,467.88,337.44,0,0,0,0,-1.1148e+08,-7.4254e+07,4.4852e-05,0.078068,41.464,0,5.4696e+07,92508,13.948,0.95462,-2.9802e-08,2.9802e-07,2.637e+07,-462.98,-67.865,2.2794e-13,0.0015453,8.0955
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0.43947,0.00018802,-2.4252e-05,-0.003,464.13,334.56,0,0,0,0,-1.1074e+08,-1.0258e+08,-2.0266e-06,0.068315,44.933,0,5.6403e+07,88738,13.948,0.92481,3.7253e-08,2.9802e-08,2.9675e+07,-514.01,-110.45,-9.4052e-13,0.0018514,8.2737
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0.5075,0.00021529,-1.758e-05,-0.003,460.47,331.92,0,0,0,0,-9.9553e+07,-1.1912e+08,4.518e-05,0.060439,48.169,0,5.84e+07,84990,13.948,0.89292,5.0664e-07,-1.0133e-06,3.2608e+07,-554.67,-160.36,-2.7713e-12,0.0021757,8.3668
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0.56691,0.00024196,-8.7864e-06,-0.003,457.1,329.66,0,0,0,0,-7.7199e+07,-1.2503e+08,0.00013304,0.053726,51.34,0,6.0499e+07,81475,13.948,0.86148,1.2368e-06,-2.8014e-06,3.4925e+07,-581.4,-213.19,-3.2894e-12,0.002516,8.3839
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0.61413,0.00026799,1.7255e-06,-0.003,453.91,327.82,0,0,0,0,-5.142e+07,-1.1999e+08,-1.1563e-05,0.048039,54.504,0,6.243e+07,78556,13.948,0.83505,1.4454e-06,-3.0398e-06,3.6673e+07,-596.44,-262.83,-1.7998e-12,0.00287,8.3467
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0.65435,0.00029328,1.3914e-05,-0.003,450.77,326.6,0,0,0,0,-2.4817e+07,-1.1608e+08,-7.7963e-05,0.04222,57.113,0,6.4288e+07,76002,13.948,0.81165,1.1027e-06,-1.9968e-06,3.7502e+07,-595.67,-302.86,-1.5358e-12,0.0032352,8.2665
