"C:0","C:1","C:2","Cx","Cy","Cz","Ma","Mas","Points:0","Points:1","Points:2","Ret","T","U:0","U:1","U:2","alphat","grad(p):0","grad(p):1","grad(p):2","im","k","nut","omega","p","pseudoCoField","rho","vorticity:0","vorticity:1","vorticity:2","wallShearStress:0","wallShearStress:1","wallShearStress:2","xc","yPlus"
7.6294e-05,-3.1418e-05,-0.003,7.6294e-05,-3.1418e-05,-0.003,0,0.19374,7.6279e-05,-3.1803e-05,-0.003,534.89,350.05,0,0,0,0,-9.6427e+07,5.1315e+07,-7.9155e-05,0.11789,29.574,0,5.5251e+07,98707,13.44,0.97214,-1.071e-08,3.5763e-07,1.9435e+07,-342.93,-0.26273,4.6278e-13,0.00074082,7.3036
4.9547e-05,-2.6019e-05,-0.003,4.9547e-05,-2.6019e-05,-0.003,0,0,4.8283e-05,-2.9493e-05,-0.003,532.45,353.12,0,0,0,0,-7.1856e+07,1.0285e+08,-3.7909e-05,0.13586,21.468,0,5.5209e+07,1.0379e+05,13.44,1.0067,-9.3132e-10,1.0431e-07,1.5458e+07,-256.85,37.038,2.7058e-13,0.00055358,6.7644
0.00010434,-3.2158e-05,-0.003,0.00010434,-3.2158e-05,-0.003,0,0.26309,0.00010434,-3.2571e-05,-0.003,532.83,347.73,0,0,0,0,-8.2375e+07,2.279e+07,1.7107e-05,0.093178,35.338,0,5.4113e+07,96565,13.44,0.96062,-2.468e-08,3.5763e-07,2.1971e+07,-392.86,-17.709,5.3142e-13,0.00099083,7.6723
0.00013237,-3.1264e-05,-0.003,0.00013237,-3.1264e-05,-0.003,0,0.35446,0.00013239,-3.1689e-05,-0.003,529.08,344.7,0,0,0,0,-1.18e+08,-3.7674e+07,-2.8789e-05,0.080033,39.81,0,5.5703e+07,92895,13.44,0.93626,-9.6858e-08,5.6624e-07,2.5869e+07,-459.29,-38.983,9.0709e-13,0.0012586,8.0713
0.00016028,-2.8539e-05,-0.003,0.00016028,-2.8539e-05,-0.003,0,0.43924,0.00016036,-2.9108e-05,-0.003,525.43,341.15,0,0,0,0,-1.2591e+08,-8.6195e+07,-9.6917e-05,0.070402,43.653,0,5.7601e+07,88750,13.44,0.9063,-6.333e-08,4.4703e-07,2.9571e+07,-519.14,-74.7,4.5006e-13,0.0015453,8.3404
0.00018792,-2.3798e-05,-0.003,0.00018792,-2.3798e-05,-0.003,0,0.51394,0.00018802,-2.4252e-05,-0.003,521.1,337.94,0,0,0,0,-1.2148e+08,-1.135e+08,1.1444e-05,0.062536,47.179,0,5.9708e+07,84619,13.44,0.87343,0,8.9407e-08,3.2934e+07,-570.51,-121.84,-4.2897e-13,0.0018514,8.5271
0.00021514,-1.705e-05,-0.003,0.00021514,-1.705e-05,-0.003,0,0.58205,0.00021529,-1.758e-05,-0.003,516.52,334.87,0,0,0,0,-1.0788e+08,-1.2861e+08,-7.391e-06,0.055968,50.566,0,6.213e+07,80550,13.44,0.83906,5.3644e-07,-1.2517e-06,3.5924e+07,-611.14,-176.19,-1.9627e-12,0.0021757,8.6266
0.0002418,-8.3569e-06,-0.003,0.0002418,-8.3569e-06,-0.003,0,0.64204,0.00024196,-8.7864e-06,-0.003,511.72,332.09,0,0,0,0,-8.366e+07,-1.3083e+08,6.1989e-05,0.050285,54.002,0,6.4641e+07,76789,13.44,0.80603,1.4156e-06,-3.0696e-06,3.8232e+07,-636.52,-233.15,-4.73e-12,0.002516,8.6487
0.00026781,2.1446e-06,-0.003,0.00026781,2.1446e-06,-0.003,0,0.69047,0.00026799,1.7255e-06,-0.003,506.63,330.49,0,0,0,0,-5.6441e+07,-1.2456e+08,1.9789e-05,0.045026,57.286,0,6.7077e+07,73669,13.44,0.77694,1.654e-06,-3.1888e-06,3.9932e+07,-649.83,-285.83,-4.1717e-12,0.00287,8.607
0.00029309,1.4287e-05,-0.003,0.00029309,1.4287e-05,-0.003,0,0.73352,0.00029328,1.3914e-05,-0.003,503.53,328.87,0,0,0,0,-2.6367e+07,-1.2267e+08,1.4305e-06,0.039709,59.816,0,6.9336e+07,70853,13.44,0.75221,1.1325e-06,-1.9968e-06,4.0682e+07,-647.13,-327.09,-2.1331e-12,0.0032352,8.5301
